Sitename Sitenum Atlantic Current longitude latitude ShellBreadth ShellHeight Columella ApertureWidth ApertureLength Proportionality Circularity Spireheight N.Telochonc.Whorls N.Protochonch.Whorls Whorl.First.Primary N.Primary.Whorls Whorl.Axial.Striae Whorl.Secondary.Groove Regularity.Secondary.Groove Whorl.Tertiary.Groove Whorl.Spiral.Striae Columella.Color Columella.Morphology
Belize 17 West Caribbean 88 17 14.1 20.5 1.8 8.4 10.8 1.45 0.78 1.90 7 0 2 3 2 4 0 6 0 0 0
Belize 17 West Caribbean 88 17 13.9 19.6 1.6 8.4 11.1 1.41 0.76 1.77 7 0 2 3 1 4 0 0 0 0 1
Belize 17 West Caribbean 88 17 13.2 18.9 1.8 8.1 9.9 1.43 0.82 1.91 7 2 2 3 2 5 0 7 6 0 0
Belize 17 West Caribbean 88 17 12.9 18.1 1.6 7.6 9.9 1.40 0.77 1.83 7 0 3 3 3 5 0 7 0 0 0
Belize 17 West Caribbean 88 17 13.9 20 1.6 8 10.2 1.44 0.78 1.96 8 3 3 3 3 6 0 8 0 1 0
Belize 17 West Caribbean 88 17 14.1 19.4 1.3 8.1 10.9 1.38 0.74 1.78 7 0 2 2 2 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 14.7 21.8 1.6 8.6 11.4 1.48 0.75 1.91 7 0 2 2 2 4 0 7 5 0 0
Belize 17 West Caribbean 88 17 13.6 19.2 1.1 7.9 10.4 1.41 0.76 1.85 7 3 2 4 1 4 0 7 7 0 0
Belize 17 West Caribbean 88 17 15.7 21.5 1.8 8.6 11.6 1.37 0.74 1.85 7 0 1 2 1 4 0 6 4 0 0
Belize 17 West Caribbean 88 17 14.3 19.5 1.4 8.1 10.5 1.36 0.77 1.86 7 0 2 2 2 4 0 6 0 0 0
Belize 17 West Caribbean 88 17 13.4 19.9 1.6 7.9 10.5 1.49 0.75 1.90 7 0 3 8 3 5 0 7 6 1 0
Belize 17 West Caribbean 88 17 14.9 21.4 1.9 8.6 10.9 1.44 0.79 1.96 7 0 3 5 2 6 0 0 0 0 0
Belize 17 West Caribbean 88 17 15.4 21.8 1.8 9.4 11.9 1.42 0.79 1.83 7 0 2 4 2 5 0 7 7 0 0
Belize 17 West Caribbean 88 17 7.8 10.2 0.8 4.7 6 1.31 0.78 1.70 6 4 2 2 2 4 0 6 6 0 0
Belize 17 West Caribbean 88 17 13.7 19.8 1.8 8 10.8 1.45 0.74 1.83 7 3 2 3 2 4 0 7 7 0 0
Belize 17 West Caribbean 88 17 13.2 18.7 1.5 7.5 10.2 1.42 0.74 1.83 7 3 1 2 1 4 0 6 4 0 0
Belize 17 West Caribbean 88 17 13.4 18.4 1.5 7.4 9.8 1.37 0.76 1.88 7 0 2 2 2 4 0 0 5 0 0
Belize 17 West Caribbean 88 17 10.8 14.5 1.1 6.7 8.3 1.34 0.81 1.75 7 3 1 2 1 3 0 5 4 0 0
Belize 17 West Caribbean 88 17 11.3 15.2 1.2 7 8.5 1.35 0.82 1.79 7 2 2 4 1 4 0 5 4 0 1
Belize 17 West Caribbean 88 17 12.8 18.9 1.5 7.8 10 1.48 0.78 1.89 7 0 1 2 1 4 0 0 5 0 0
Belize 17 West Caribbean 88 17 12.5 17.6 1.4 7.1 9.3 1.41 0.76 1.89 6 0 1 2 1 3 0 6 4 0 0
Belize 17 West Caribbean 88 17 13.7 18.8 1.4 8.2 10.3 1.37 0.80 1.83 7 3 3 7 2 4 0 6 5 0 1
Belize 17 West Caribbean 88 17 14.2 20 1.5 7.6 10.4 1.41 0.73 1.92 7 2 1 3 1 3 0 6 4 1 0
Belize 17 West Caribbean 88 17 15.1 21.8 1.5 8.5 11.3 1.44 0.75 1.93 8 0 2 2 2 5 0 0 8 0 0
Belize 17 West Caribbean 88 17 13 18.6 1.5 7.7 10.1 1.43 0.76 1.84 7 0 3 4 3 5 0 0 0 0 0
Belize 17 West Caribbean 88 17 13.1 17.7 1.5 7.8 9.9 1.35 0.79 1.79 7 0 3 2 2 5 0 7 0 0 0
Belize 17 West Caribbean 88 17 10.4 13.9 1 5.4 7.9 1.34 0.68 1.76 7 2 2 2 2 5 0 6 5 0 0
Belize 17 West Caribbean 88 17 13.9 19.2 1.5 7.9 10.3 1.38 0.77 1.86 7 0 2 3 1 5 0 7 5 0 0
Belize 17 West Caribbean 88 17 13.1 18.8 1.1 7.3 9.6 1.44 0.76 1.96 8 3 2 2 2 5 0 7 6 0 0
Belize 17 West Caribbean 88 17 14.5 22.4 1.4 8.1 10.8 1.54 0.75 2.07 7 0 2 7 2 4 0 6 5 0 0
Belize 17 West Caribbean 88 17 13.7 17.9 1.4 8.1 10.3 1.31 0.79 1.74 5 0 1 7 1 3 0 5 5 0 0
Belize 17 West Caribbean 88 17 15 20.9 1.6 8.7 11.4 1.39 0.76 1.83 6 0 1 2 1 4 0 6 3 0 0
Belize 17 West Caribbean 88 17 11 16 0.9 6.4 8.7 1.45 0.74 1.84 7 3 1 2 1 4 0 7 7 0 0
Belize 17 West Caribbean 88 17 12.9 18 1.4 7.6 10.2 1.40 0.75 1.76 7 0 3 8 2 5 0 7 6 0 0
Belize 17 West Caribbean 88 17 6.4 8.9 0.3 3.8 5.2 1.39 0.73 1.71 6 3 2 4 2 3 0 5 6 0 0
Belize 17 West Caribbean 88 17 13.5 18.8 1.4 7.8 10.2 1.39 0.76 1.84 8 2 3 3 2 5 0 7 6 0 0
Belize 17 West Caribbean 88 17 7 9.8 0.3 4 5.4 1.40 0.74 1.81 6 4 2 3 2 4 0 6 5 0 0
Belize 17 West Caribbean 88 17 14.8 21.7 1.6 8.3 10.8 1.47 0.77 2.01 7 0 2 6 2 4 0 7 6 0 0
Belize 17 West Caribbean 88 17 8.8 12.6 0.7 5.2 6.7 1.43 0.78 1.88 7 3 1 2 1 4 0 6 7 0 0
Belize 17 West Caribbean 88 17 13 18.4 1.1 7.7 9.9 1.42 0.78 1.86 7 0 1 2 2 3 0 7 7 0 0
Belize 17 West Caribbean 88 17 9.3 12.5 0.8 5.1 7.2 1.34 0.71 1.74 7 2 2 2 2 4 0 0 0 0 0
Belize 17 West Caribbean 88 17 7.7 10.4 0.7 4.3 5.9 1.35 0.73 1.76 6 3 1 3 2 5 0 6 5 0 0
Belize 17 West Caribbean 88 17 11.5 17 0.9 6.4 8.5 1.48 0.75 2.00 7 3 2 3 2 4 0 7 6 0 0
Belize 17 West Caribbean 88 17 12.1 17.2 1.2 6.9 9.3 1.42 0.74 1.85 7 0 1 2 2 4 1 7 6 0 0
Belize 17 West Caribbean 88 17 8.8 11.9 0.9 5.1 7.1 1.35 0.72 1.68 7 0 2 4 1 4 0 6 5 0 0
Belize 17 West Caribbean 88 17 13.3 18.6 1.9 7.3 10.2 1.40 0.72 1.82 7 0 1 3 1 4 0 7 5 0 0
Belize 17 West Caribbean 88 17 15.2 22 2.1 8.8 11.6 1.45 0.76 1.90 7 0 2 6 1 4 0 7 4 0 0
Belize 17 West Caribbean 88 17 16.6 21.8 2 9.6 12.6 1.31 0.76 1.73 7 0 2 2 1 4 0 6 5 0 0
Belize 17 West Caribbean 88 17 14.6 19.2 1.7 8.4 11.2 1.32 0.75 1.71 6 0 1 5 1 3 0 6 2 0 0
