trapping_code,weight_animal,hind_foot,ear,tail,date_year,sampling_site,location,success,islandsize,distance,predation
MI_1153,18,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01390,11,19.7,13,78,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01440,22,20,14.7,75,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01466,21,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01457,25.5,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01454,20,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01444,21,19.4,13.2,78,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1105,25,19.2,13.2,80,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01383,16,19.9,15,78,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01323,19,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01332,22,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01459,16.5,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01356,25,20.5,15.7,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1113,NA,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01326,24,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1526,21,18.1,15.1,79,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01321,20,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01315,19,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_1110,20,20.3,14,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
MI_01470,26,NA,NA,NA,2022,Mandarte Island,island,0.08036375907571237,80697,7206,1
